Environment, Total #OTUs, Mean #OTUs, Mean #reads
freshwater sediment metagenome, 12231, 1080.95, 18979.56
freshwater metagenome, 12052, 822.37, 33646.53
marine sediment metagenome, 16110, 1393.67, 40440.38
marine metagenome, 9090, 690.80, 95129.43
human oral metagenome, 4716, 537.45, 44271.22
human skin metagenome, 17955, 1293.45, 36344.13
soil metagenome, 20298, 1814.76, 36268.93
human gut metagenome, 6175, 599.09, 32894.50
microbial mat metagenome, 5087, 200.24, 8659.36
